Player,Pos,3P,TRB,BLK
Dewayne Dedmon,C,0.0,6.5,0.8
Manu Ginobili,SG,1.3,2.3,0.2
Salah Mejri,C,0.0,4.2,0.8
Nene Hilario,C,0.0,4.2,0.6
Jordan Crawford,SG,1.9,1.8,0.1
Avery Bradley,SG,2.0,6.1,0.2
DeMarcus Cousins,C,1.8,11.0,1.3
Jason Smith,C,0.5,3.5,0.7
Dwight Howard,C,0.0,12.7,1.2
Justin Holiday,SG,1.2,2.7,0.4
Al Horford,C,1.3,6.8,1.3
Dion Waiters,SG,1.8,3.3,0.4
Jamal Crawford,SG,1.4,1.6,0.2
Jonas Valanciunas,C,0.0,9.5,0.8
Nikola Vucevic,C,0.3,10.4,1.0
Marcin Gortat,C,0.0,10.4,0.7
Jordan Clarkson,SG,1.4,3.0,0.1
Channing Frye,C,1.9,3.9,0.5
Pau Gasol,C,0.9,7.8,1.1
Jamal Murray,SG,1.4,2.6,0.3
Andrew Bogut,C,0.0,8.1,0.9
Marc Gasol,C,1.4,6.3,1.3
Courtney Lee,SG,1.4,3.4,0.3
Tristan Thompson,C,0.0,9.2,1.1
JaVale McGee,C,0.0,3.2,0.9
Chris Andersen,C,0.0,2.6,0.6
Bismack Biyombo,C,0.0,7.0,1.1
Will Barton,SG,1.5,4.3,0.5
Mason Plumlee,C,0.0,7.5,1.1
Josh Richardson,SG,1.4,3.2,0.7
Willie Reed,C,0.0,4.7,0.7
Joel Embiid,C,1.2,7.8,2.5
Nicolas Batum,SG,1.8,6.2,0.4
Roy Hibbert,C,0.0,3.2,1.0
Tim Hardaway,SG,1.9,2.8,0.2
Devin Booker,SG,1.9,3.2,0.3
J.R. Smith,SG,2.3,2.8,0.3
Ian Mahinmi,C,0.0,4.8,0.8
Gary Harris,SG,1.9,3.1,0.1
Steven Adams,C,0.0,7.7,1.0
Victor Oladipo,SG,1.9,4.3,0.3
Rudy Gobert,C,0.0,12.8,2.6
Montrezl Harrell,C,0.0,3.8,0.7
Anthony Davis,C,0.5,11.8,2.2
Ben McLemore,SG,1.1,2.1,0.1
J.J. Redick,SG,2.6,2.2,0.2
Austin Rivers,SG,1.5,2.2,0.1
Iman Shumpert,SG,1.2,2.9,0.4
Robin Lopez,C,0.0,6.4,1.4
Edy Tavares,C,0.0,5.5,3.0
Klay Thompson,SG,3.4,3.7,0.5
Nik Stauskas,SG,1.7,2.8,0.4
Tarik Black,C,0.0,5.1,0.7
Marreese Speights,C,1.3,4.5,0.5
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Zach LaVine,SG,2.6,3.4,0.2
Kosta Koufos,C,0.0,5.7,0.7
Georgios Papagiannis,C,0.0,3.9,0.8
Alex Abrines,SG,1.4,1.3,0.1
Alex Len,C,0.0,6.6,1.3
Willie Cauley-Stein,C,0.0,4.5,0.6
Dwyane Wade,SG,0.8,4.5,0.7
Richaun Holmes,C,0.5,5.5,1.0
Nikola Jokic,C,0.6,9.8,0.8
Joe Harris,SG,1.6,2.8,0.2
A.J. Hammons,C,0.2,1.6,0.6
Andre Drummond,C,0.0,13.8,1.1
John Henson,C,0.0,5.1,1.3
Brook Lopez,C,1.8,5.4,1.7
Denzel Valentine,SG,1.3,2.6,0.1
Sean Kilpatrick,SG,1.5,4.0,0.1
Timofey Mozgov,C,0.0,4.9,0.6
Hassan Whiteside,C,0.0,14.1,2.1
Eric Gordon,SG,3.3,2.7,0.5
E'Twaun Moore,SG,1.1,2.1,0.4
Wayne Ellington,SG,2.4,2.1,0.1
Wesley Matthews,SG,2.4,3.5,0.2
Patrick Beverley,SG,1.6,5.9,0.4
Marcus Smart,SG,1.2,3.9,0.4
Allen Crabbe,SG,1.7,2.9,0.3
